name,path,file,description,player
Super Maria Galaxy,Super Maria Galaxy,main.py,Dieses Spiel wurde vom Grundkurs Informatik gemeinsam entwickelt.,1
Asteroids,Asteroids,asteroids.py,Weiche den Asteroiden aus und fliege so weit wie möglich. Programmiert von Sariana Hesse,1

